CIDADE;REFERÊNCIA;TELEFONE;ENDEREÇO;LATITUDE;LONGITUDE
Alta Floresta;CAPS; (66) 3903-1169;https://abrir.link/QMKEW;-9.887.122.045.764.500;-560.885.993.741.979
Barra do Bugres;CAPS;(65) 3361-2832;https://abrir.link/IDkpA;"15º07'11.6""";"57º19'36.4"""
Barra do Garças;Dr. Julio Strubing Muller Neto;(66) 3401-8537;https://abrir.link/cqTzo;"15º89'32.5""";"52º26'23.8"""
Cáceres;CAPS;(65) 3223-0863;https://www.google.com/maps/place/Centro+de+Aten%C3%A7%C3%A3o+Psicossocial+(CAPS)/@-16.0596295,-57.6767595,172a,35y,86.25h,45t/data=!3m1!1e3!4m10!1m2!2m1!1scaps+caceres!3m6!1s0x939aff88b86b1811:0x57b0946a57d514f0!8m2!3d-16.060481!4d-57.6767014!15sCgxjYXBzIGNhY2VyZXNaDiIMY2FwcyBjYWNlcmVzkgEIaG9zcGl0YWyaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTlJhRkJtV0RsblJSQULgAQA!16s%2Fg%2F1ptyzldm8?entry=ttu;"16º06'04.0""";"57º67'73.9"""
Campo Verde;CAPS;(66) 3419-3744;https://www.google.com/maps/place/Caps/@-15.5460044,-55.1597166,17z/data=!3m1!4b1!4m6!3m5!1s0x937635918bbbd081:0xf9c6f77db4a2053d!8m2!3d-15.5460044!4d-55.1571417!16s%2Fg%2F11gk8v9_q4?entry=ttu;"15º54'59.1""";"55º15'74.6"""
Confresa;CAPS;(66) 9996-7111;https://www.google.com/maps/place/CAPS+(+centro+de+assist%C3%AAncia+psicossocial)/@-10.6456777,-51.5730065,19z/data=!4m7!3m6!1s0x931a0980ecd9bc97:0x974a5bd70aad2f6e!4b1!8m2!3d-10.6455611!4d-51.5726181!16s%2Fg%2F11sk4vhpz7?entry=ttu;"10º64'55.4""";"51º57'24.6"""
Cuiabá;CAPS Dr. Julio Strubing Muller Neto;(65) 3025-7463;https://maps.app.goo.gl/VKgjhajjnZpnx27q7;"15º56'17.3""";"56º03'01.2"""
Cuiabá;CAPSad Adolescer (Infanto-Juvenil);(65) 3671-1322;https://maps.app.goo.gl/RZLfNnySHop8xTqw7;"15º62'44.9""";"56º06'80.9"""
Cuiabá;CAPSad Adauto Botelho;(65) 3661-1817 ;https://maps.app.goo.gl/uBbLMXZ6jU2LjF368;"15º63'37.7""";"56º05'91.7"""
Cuiabá;CAPSI Infanto Juvenil;(65) 3661-7226;https://abrir.link/duYfM;"15º63'32.9""";"56º06'16.5"""
Cuiabá;CAPS II Verdão;(65) 3617-1250;https://abrir.link/ytwLk;"15º59'70.2""";"56º10'19.7"""
Diamantino;CAPS;(65)3336-1047;https://abrir.link/AAHoM;"14º40.90.9""";"56º44'99.8"""
Guarantã do Norte;CAPS;(66) 3552-5142;https://maps.app.goo.gl/FNTQfHgmirraofSa7?g_st=ic;"9°57'04.4""";54°54'23.0
